Suburb House  Price - 2021,,,,,,,,,,,,,,,,
,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,prelim 2022,change,change,Growth PA,
locality,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,2020-2021,2011-2021,,
 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ABBOTSFORD,730000,714000,792500,862500,925000,1187500,1280000,1192500,1050000,1200000,1375000,1517500,15,88,6.5,
ABERFELDIE,994000,852500,947500,1045000,1207500,1300000,1471000,1498500,1390000,1520000,1880500,1575000,24,89,6.6,
AINTREE,-,-,-,-,600000,600000,571000,557500,575000,640000,719000,760000,12,NA,NA,
AIREYS INLET,680000,634000,664000,625500,680000,715000,737500,869000,985000,1132500,1775000,1750000,57,161,10.1,
AIRPORT WEST,557500,495000,532000,575000,635000,742000,845000,845000,795000,812500,960000,919500,18,72,5.6,
ALBANVALE,317000,310000,313000,328000,345000,439000,526500,546000,512000,545000,610000,605000,12,92,6.8,
ALBERT PARK,1390000,1270000,1360000,1503000,1700000,1775000,2150000,2070000,1990000,1895000,2300000,2076000,21,65,5.2,
ALBION,400000,379500,379000,432000,481000,593000,730000,755000,675000,727500,830000,785000,14,108,7.6,
ALEXANDRA,255000,239000,261000,247500,285000,275000,291500,335000,325000,380000,440000,545000,16,73,5.6,
ALFREDTON,333000,340000,361500,362000,340500,375000,412500,439000,480000,512000,605000,700000,18,82,6.2,
ALLANSFORD,332000,257500,310000,242500,259000,275000,280000,245000,300000,371000,441500,629000,19,33,2.9,
ALPHINGTON,985000,1000000,1080000,1029000,1296500,1272500,1560000,1612500,1460000,1865000,2290000,1990000,23,132,8.8,
ALTONA,575000,570000,575000,646500,718000,829000,950000,932500,890000,917000,1160000,1018000,26,102,7.3,
ALTONA EAST,523000,550000,561000,603000,650000,795000,885000,902000,855000,870000,1015000,1095000,17,94,6.9,
ALTONA MEADOWS,395000,375000,390000,413000,440000,495000,625000,631500,617500,640000,720000,750000,13,82,6.2,
ALTONA NORTH,520000,484000,510000,555000,645000,726000,828000,830000,780000,830000,960000,920000,16,85,6.3,
ANGLESEA,600500,587500,550000,612500,635000,652500,788000,870000,915000,1100000,1440000,1712500,31,140,9.1,
APOLLO BAY,495000,432500,450000,457500,435000,480000,545000,555000,600000,710000,914500,1160000,29,85,6.3,
ARARAT,169000,165000,180000,200000,210000,204500,199000,199000,215000,244000,313000,340000,28,85,6.4,
ARDEER,360000,342500,330000,360000,381500,517500,595000,629000,572000,615000,719000,737500,17,100,7.2,
ARMADALE,1615000,1500000,1675000,1750000,2172500,2364000,2300000,2341500,2490000,2575000,2585000,2721000,0,60,4.8,
ARMSTRONG CREEK,205000,362500,467500,441500,440000,450000,471000,535000,529500,547000,660000,721000,21,222,12.4,
ASCOT (GREATER BENDIGO),323500,350000,349500,344500,349000,370000,358000,380000,415500,470000,562500,555000,20,74,5.7,
ASCOT VALE,735000,701500,735000,810000,885000,1010000,1185000,1197500,1098500,1270000,1315000,1270000,4,79,6.0,
ASHBURTON,890000,870000,1000000,1200000,1435000,1567500,1812500,1712500,1641500,1600000,2000000,2225000,25,125,8.4,
ASHWOOD,748000,681000,775000,888000,1140000,1230000,1359000,1210000,1100000,1250500,1442500,1410000,15,93,6.8,
ASPENDALE,630000,610000,620000,690000,795500,891000,1125000,980000,988000,1120000,1300000,1350000,16,106,7.5,
ASPENDALE GARDENS,550000,552000,586500,632000,715000,775000,882500,935000,844000,970000,1131000,1157000,17,106,7.5,
ATTWOOD,592000,500000,540000,515000,620000,660000,742500,750000,767500,750000,970000,703000,29,64,5.1,
AVENEL,221500,230500,231000,302000,245000,250000,355000,349000,370000,450000,455000,515000,1,105,7.5,
AVOCA,151000,181500,182500,180000,182500,165000,212500,220000,219500,290000,325000,375000,12,115,8.0,
AVONDALE HEIGHTS,538000,536000,532500,560000,650000,750000,845500,830000,810000,842500,970000,990000,15,80,6.1,
AVONSLEIGH,385500,345000,420000,355000,397500,501000,562000,540000,532500,615000,752500,705000,22,95,6.9,
BACCHUS MARSH,330000,325000,335500,348000,355000,376000,415500,480000,500000,520000,596500,620000,15,81,6.1,
BADGER CREEK,295000,295000,315000,325000,345000,379000,465000,500000,498000,550000,665000,700000,21,125,8.5,
BAIRNSDALE,235000,231000,235000,244000,246500,255000,272500,279000,274000,290000,350000,425000,21,49,4.1,
BALACLAVA,793500,717500,860500,942000,1100000,1242500,1385500,1196000,1350000,1390000,1550000,1660000,12,95,6.9,
BALCOMBE,718500,686000,712500,737000,871000,950000,1100000,1240000,1125000,1300000,1750000,1852500,35,144,9.3,
BALLAN,310000,305000,352000,330000,359000,370000,417000,462000,450000,505000,603500,661000,20,95,6.9,
BALLARAT CENTRAL,320000,313500,322000,327500,353000,385000,430000,447500,515000,560000,700000,710000,25,119,8.1,
BALLARAT EAST,245000,255000,265000,265000,275000,295000,310000,340000,360000,398000,487500,540000,22,99,7.1,
BALLARAT NORTH,275000,280000,296000,312000,315000,339500,346500,389000,415000,425000,566500,635000,33,106,7.5,
BALNARRING,472500,501500,525000,544000,595000,670000,815000,814500,825000,938500,1275000,1306500,36,170,10.4,
BALNARRING BEACH,630000,660000,750000,700000,887500,904000,890000,1115000,1275000,1250000,1570000,1847500,26,149,9.6,
BALWYN,1363000,1295000,1530000,1780000,2210000,2180000,2340000,2420000,2385000,2260000,2750000,2716500,22,102,7.3,
BALWYN NORTH,1100000,997500,1240000,1452000,1850000,1800000,1950000,1810000,1720000,1887500,2255500,1976500,19,105,7.4,
BANDIANA,367000,345500,339000,355000,377500,370000,375000,390000,374000,380000,447000,449500,18,22,2.0,
BANNOCKBURN,378000,351500,370000,405000,393000,382000,430000,487500,530000,555000,680000,720000,23,80,6.1,
BARANDUDA,340000,340000,345000,330000,323000,350000,350000,403500,395000,430500,487000,683000,13,43,3.7,
BARNAWARTHA,220000,222000,245000,220000,305000,245000,312000,280000,316000,345000,358500,405000,4,63,5.0,
BARWON HEADS,607500,632500,742500,715000,775000,842500,916000,965000,1023000,1285000,1557000,1667500,21,156,9.9,
BAXTER,320000,315000,330500,325000,340000,403000,530000,542500,530000,567500,710000,787500,25,122,8.3,
BAYSWATER,447500,426500,458500,525000,632500,693000,800500,753000,720000,747000,872500,936500,17,95,6.9,
BAYSWATER NORTH,436000,426500,468500,490000,580000,628000,737500,713000,695000,731000,860000,868500,18,97,7.0,
BEACONSFIELD,505000,511500,486500,525000,559000,585000,694500,730000,685000,711000,892000,891000,25,77,5.9,
BEACONSFIELD UPPER,437500,535000,470000,507500,602500,630000,725500,903500,787500,818000,900000,1205000,10,106,7.5,
BEAUFORT,142500,186000,186000,220000,205000,237500,220000,225000,242500,325000,390000,380000,20,174,10.6,
BEAUMARIS,1050000,997000,1074000,1129500,1345000,1455000,1611000,1674000,1587500,1725000,2100000,2060000,22,100,7.2,
BEEAC,197500,216000,157500,162500,158000,148000,200500,191500,180000,265000,345500,NA,30,75,5.7,
BEECHWORTH,320000,304500,295000,295000,332000,345000,399000,400000,478500,487500,645000,645000,32,102,7.3,
BELGRAVE,375000,390000,410000,426000,482500,545000,620000,676000,636000,680000,782500,913000,15,109,7.6,
BELGRAVE HEIGHTS,382000,399000,430000,480000,590500,624000,687500,701500,685000,737500,902500,1167000,22,136,9.0,
BELGRAVE SOUTH,475000,447500,548000,541000,555500,565000,689000,782500,665500,845000,1085000,885000,28,128,8.6,
BELL PARK,315000,290500,314000,323500,340000,360000,400000,452500,482000,500000,620000,560000,24,97,7.0,
BELL POST HILL,320000,328000,328000,333500,344500,355000,435000,487000,475000,508500,657500,707500,29,105,7.5,
BELLFIELD (BANYULE),550500,510000,516000,582500,700000,778000,897000,882500,790000,800000,973000,NA,22,77,5.9,
BELMONT,345000,350000,360000,362000,395000,430000,500000,545000,545000,605000,730000,745000,21,112,7.8,
BENALLA,225000,216500,228000,235500,222500,231500,250000,284000,290000,302000,394000,415000,30,75,5.8,
BENDIGO,290000,335000,340000,376500,372000,400000,400000,400000,420000,500000,602500,660000,21,108,7.6,
BENTLEIGH,882000,820000,900000,1050000,1245000,1380000,1470000,1394000,1376000,1510000,1748500,1680000,16,98,7.1,
BENTLEIGH EAST,720000,680000,750000,850000,1000500,1115000,1256000,1205000,1200000,1252500,1470000,1528000,17,104,7.4,
BERWICK,440000,451000,453000,487500,535000,583000,670000,691000,672000,700000,830000,862500,19,89,6.6,
BEVERIDGE,416500,412500,396000,351500,400000,430000,495000,540000,590000,540000,642500,684000,19,54,4.4,
BIRCHIP,77000,87500,120000,90000,121500,55000,100000,100000,108500,121500,130000,180000,7,69,5.4,
BIRREGURRA,260000,260000,255000,337500,302500,345000,382500,412500,463000,489500,692500,807500,41,166,10.3,
BITTERN,365000,382500,402000,390000,382500,464000,526500,650000,577500,630000,748000,872500,19,105,7.4,
BLACK HILL,292000,265000,283500,321500,300000,315000,370000,405000,492500,491000,550000,650000,12,88,6.5,
BLACK ROCK,1237500,1175000,1225000,1400000,1545000,1745000,2017500,2023000,1793000,1900000,2547500,2925000,34,106,7.5,
BLACKBURN,786000,750000,860500,936000,1200500,1241000,1410000,1370500,1305000,1408000,1638500,1845500,16,109,7.6,
BLACKBURN NORTH,617500,609000,692000,790000,921500,1040000,1140500,1038000,1017500,1090000,1300000,1430500,19,111,7.7,
BLACKBURN SOUTH,636500,632000,697500,780000,920500,1050000,1200000,1063500,1034000,1100500,1338500,1325000,22,110,7.7,
BLACKWOOD,263000,245000,310000,266000,260000,291000,403000,326500,372500,477500,610000,730000,28,132,8.8,
BLAIRGOWRIE,600000,580000,609000,627500,621500,770000,883000,990500,921500,1142000,1550000,1670000,36,158,10.0,
BLIND BIGHT,358000,319000,362500,343000,401000,440000,514000,546000,552500,570000,668500,700000,17,87,6.4,
BONBEACH,555000,535000,580000,635000,700000,778000,882500,910000,855000,930000,1100000,1191000,18,98,7.1,
BONNIE DOON,215000,262500,250000,275000,290000,290000,315000,417500,410000,372500,565000,762500,52,163,10.1,
BONSHAW,-,-,-,309000,309000,322500,235000,400000,379000,435000,523500,585000,20,NA,NA,
BOOLARRA,209000,190000,196500,260000,212500,202500,255000,250000,247500,255000,355000,NA,39,70,5.4,
BOORT,164000,107000,157500,162500,130000,200500,215000,180000,185000,165000,240000,215000,45,46,3.9,
BORONIA,440000,430000,459500,500500,592500,648500,735000,742500,680000,715000,845000,852500,18,92,6.7,
BOTANIC RIDGE,475000,500000,492000,519000,565000,600000,690000,730000,700000,726000,880000,875000,21,85,6.4,
BOX HILL,975000,852000,855000,1067000,1350000,1360500,1738000,1700500,1536500,1512500,1630500,1290000,8,67,5.3,
BOX HILL NORTH,678000,648500,746000,856500,1060000,1146000,1321000,1188000,1200000,1187500,1325000,1466000,12,95,6.9,
BOX HILL SOUTH,770000,715000,785000,910000,1153000,1255000,1409000,1285500,1177500,1255000,1553000,1448000,24,102,7.3,
BRAYBROOK,443000,396000,424000,479500,550000,629000,665000,728500,646500,670000,760000,840000,13,72,5.5,
BREAKWATER,252500,242500,255000,251500,267500,277500,335000,385000,405000,410000,534500,593500,30,112,7.8,
BRIAGOLONG,225000,215000,226000,200000,215000,265000,257000,264000,315000,277500,400000,NA,44,78,5.9,
BRIAR HILL,545500,540000,572500,633000,680000,721500,833000,880000,823500,863000,1015000,1212500,18,86,6.4,
BRIDGEWATER ON LODDON,145000,175000,180000,190000,245000,269000,276000,288000,265000,290000,360000,340000,24,148,9.5,
BRIGHT,335000,340000,325000,339500,392500,429500,495000,590000,580000,700000,911000,1225000,30,172,10.5,
BRIGHTON,1730000,1789500,1802500,1940000,2302500,2740000,3050000,2888000,2662500,3136000,3478000,2938000,11,101,7.2,
BRIGHTON EAST,1100000,1075000,1230000,1300000,1600000,1750000,1900000,1880000,1700000,1965000,2250000,2160000,15,105,7.4,
BROADFORD,260000,268500,291000,267000,270000,287500,330000,396500,415000,454000,505000,594000,11,94,6.9,
BROADMEADOWS,357000,320000,325000,345000,370000,416500,546000,575000,526000,554500,595000,600000,7,67,5.2,
BROOKFIELD,341000,332000,330000,350500,340000,360000,425000,491500,445000,500000,537500,588500,8,58,4.7,
BROOKLYN,485000,470000,491500,540000,602000,700500,834000,695000,672500,700000,850000,749500,21,75,5.8,
BROWN HILL,258500,300000,310000,281500,270000,338000,350000,405000,449000,487500,600000,630000,23,132,8.8,
BRUNSWICK,670000,673000,750000,815000,860500,946000,1200000,1100000,1033500,1100000,1350000,1325000,23,101,7.3,
BRUNSWICK EAST,700000,713000,767000,819500,888000,998000,1150000,1170000,1011500,1283000,1420000,1360000,11,103,7.3,
BRUNSWICK WEST,701500,685000,745000,790000,866500,1005000,1155000,1160000,1061500,1177500,1361000,1275000,16,94,6.9,
BRUTHEN,204000,175000,198000,182500,205000,207000,229500,261000,229000,345000,285000,389000,-17,40,3.4,
BULLEEN,722500,707000,780000,861000,1095000,1170000,1300000,1230000,1105000,1177000,1360000,1341000,16,88,6.5,
BUNDALONG,500000,385000,337500,336500,372500,425000,373000,462000,515000,725000,674500,3400000,-7,35,3.0,
BUNDOORA,490000,485000,530000,553500,600500,652000,753000,730000,732500,745000,867500,846500,16,77,5.9,
BUNINYONG,307500,376500,348000,385000,364500,381000,470000,467500,475000,587500,666000,750000,13,117,8.0,
BUNYIP,340000,342500,332500,325000,420000,357500,437500,550000,500500,541500,652500,750000,20,92,6.7,
BURNLEY,810000,797500,836000,1100000,999000,1215000,1405000,1277500,1188500,1497500,1595000,1850000,7,97,7.0,
BURNSIDE,410000,385000,390000,401000,415000,518500,572500,605000,605000,660000,720000,754500,9,76,5.8,
BURNSIDE HEIGHTS,405000,420000,427000,442500,460000,522000,590000,633000,591000,652500,701000,713500,7,73,5.6,
BURWOOD,799000,765000,780000,921000,1190000,1219000,1357000,1320000,1168000,1277500,1430000,1380000,12,79,6.0,
BURWOOD EAST,630000,617000,685500,782000,982500,1021000,1126500,1005000,1032500,1052000,1252000,1300000,19,99,7.1,
CAIRNLEA,478500,440000,480000,545000,540000,608500,710000,734000,752500,807500,850000,781000,5,78,5.9,
CALIFORNIA GULLY,240000,255000,252500,262000,255000,255000,250000,275000,287000,318000,415000,438000,31,73,5.6,
CAMBERWELL,1322000,1300000,1382000,1655000,1912500,2090000,2300000,2155000,2070000,2085000,2563500,2403000,23,94,6.8,
CAMPBELLFIELD,360000,330000,330000,338000,374500,420000,507000,550000,533000,537500,600000,636000,12,67,5.2,
CAMPBELLS CREEK,340000,343500,382000,345000,387500,426500,380000,460500,500000,522500,650000,695000,24,91,6.7,
CAMPERDOWN,180000,183500,220000,186000,218000,217500,240000,235000,280000,295000,362500,404000,23,101,7.3,
CANADIAN,298000,290500,322500,297000,345000,339000,334500,373000,375000,422500,490000,568000,16,64,5.1,
CANTERBURY,1730000,1790000,1950000,2100000,2523000,2620000,3140000,2533000,2902500,2705000,3340000,3180000,23,93,6.8,
CAPE PATERSON,420000,348000,337000,332000,350000,358000,407500,442000,540000,635500,782500,948000,23,86,6.4,
CAPE SCHANCK,477500,655000,620000,557500,660000,667500,972500,845000,940000,1095500,1365000,952500,25,186,11.1,
CAPEL SOUND,375000,330000,350000,366000,390000,445000,542500,550000,520000,580000,775000,850000,34,107,7.5,
CARISBROOK,134500,192500,218500,238500,200000,200000,245000,232500,300000,301500,364000,555000,21,171,10.5,
CARLTON,1055000,870000,1002500,1020000,830000,1050000,1470000,1625000,1308000,1452500,1492500,1600000,3,41,3.5,
CARLTON NORTH,833000,940000,890500,1095000,1177500,1360000,1628000,1445000,1555000,1500000,1670000,1640000,11,100,7.2,
CARNEGIE,905500,845000,865000,1007500,1300000,1348500,1510000,1445000,1313500,1420500,1781000,1450000,25,97,7.0,
CAROLINE SPRINGS,420000,427500,435000,460000,480000,530000,611000,620000,620000,650000,720000,731000,11,71,5.5,
CARRUM,492500,499000,510000,536000,611000,750000,835500,860000,770000,830000,952500,916500,15,93,6.8,
CARRUM DOWNS,345000,334000,330000,346000,370000,430000,525000,575000,537000,577000,675000,728000,17,96,6.9,
CASTERTON,106500,110000,97500,99000,100000,126500,142000,132500,150000,161500,200000,195000,24,88,6.5,
CASTLEMAINE,322500,338000,372500,369500,380000,410000,435000,499000,520000,555000,675500,718000,22,109,7.7,
CAULFIELD,1150000,1085000,1172500,1322000,1650000,1715000,1885000,1701000,1762500,1818500,2060000,1890000,13,79,6.0,
CAULFIELD NORTH,1350000,1330000,1415000,1480000,1875000,2181000,2285000,1933500,2112000,2350000,2565000,2755000,9,90,6.6,
CAULFIELD SOUTH,930000,890000,1050000,1200000,1375000,1517500,1690000,1600000,1494500,1747500,1950000,1800000,12,110,7.7,
CHADSTONE,625000,595000,719000,823500,925000,1017500,1131000,1050000,958000,1105000,1255000,1192500,14,101,7.2,
CHARLEMONT,-,-,-,-,-,-,157000,455000,465000,530000,627500,677500,18,NA,NA,
CHARLTON,117000,123000,120000,131000,179500,160000,136000,150000,147000,149500,195000,270000,30,67,5.2,
CHELSEA,525000,545000,577500,580000,730000,890000,914000,905000,856500,980000,1193500,1205000,22,127,8.6,
CHELSEA HEIGHTS,454000,440000,465000,513000,598000,641000,750000,778000,750000,805000,977500,985000,21,115,8.0,
CHELTENHAM,644000,635500,695000,775000,867000,940500,1171000,1105000,1035000,1130000,1308000,1518500,16,103,7.3,
CHELTENHAM EAST,580000,545000,600000,670000,770000,867500,982500,940000,940000,1010500,1190000,1138500,18,105,7.5,
CHELTENHAM NORTH,581500,570000,584000,662000,745000,900000,1025000,925000,913000,922500,1057500,886000,15,82,6.2,
CHEWTON,255000,230500,312500,296000,369000,403500,320000,435000,439500,605000,672500,1550000,11,164,10.2,
CHILTERN,202000,208000,171500,187500,220000,250000,238500,260000,223500,321000,330000,392000,3,63,5.0,
CHIRNSIDE PARK,464000,435500,450000,490500,542500,627000,735000,700000,680500,757000,900000,950000,19,94,6.8,
CHURCHILL,170000,176500,182000,178500,172500,182000,175000,180000,185000,226000,305000,361000,35,79,6.0,
CLARINDA,530000,475500,525000,606500,682500,751000,866000,802500,820000,851500,1024500,1173000,20,93,6.8,
CLAYTON,617000,572500,645000,750000,976000,1010500,1250000,1255000,1158000,1055000,1200000,1082500,14,95,6.9,
CLAYTON NORTH,619500,649000,630000,850000,1075000,1100000,1234500,1330000,1377500,1330000,1300000,1107500,-2,110,7.7,
CLAYTON SOUTH,511000,467500,522500,580000,690000,755000,850000,850000,832000,830000,980000,1032500,18,92,6.7,
CLIFTON HILL,780000,801500,867000,965000,1085000,1220000,1390000,1364500,1348000,1375000,1750000,1670000,27,124,8.4,
CLIFTON SPRINGS,340000,325000,336000,342000,345000,365000,420000,472000,485000,518500,665000,740000,28,96,6.9,
CLUNES,199000,196500,219000,237500,245000,255000,263000,354000,320000,360000,440000,510000,22,121,8.3,
CLYDE,515000,272500,397000,406000,397000,435000,430000,505000,545000,575000,636000,700000,11,23,2.1,
CLYDE NORTH,300000,395000,409000,380000,410000,491000,550000,595000,570000,605000,680000,750000,12,127,8.5,
COBBLEBANK,-,400000,335500,323000,318000,328000,374000,460000,480000,510000,562500,646500,10,0,NA,
COBDEN,200000,186500,162500,145000,178500,177000,263000,225000,237000,272000,339500,303000,25,70,5.4,
COBRAM,207500,221500,218000,230000,236000,265000,255000,255000,272500,300000,370000,375000,23,78,6.0,
COBURG,611000,594000,633000,710000,778000,876000,1000000,968000,935500,1096000,1255000,1262500,15,105,7.5,
COBURG EAST,510000,466500,560000,597500,675000,765000,861000,841500,825000,975000,1102000,1015000,13,116,8.0,
COBURG NORTH,540000,489500,538500,600000,665000,780000,821000,814000,805000,912500,1017000,1081000,11,88,6.5,
COCKATOO,325000,333500,355000,365000,385500,430000,539500,591000,580000,610000,730500,850000,20,125,8.4,
COHUNA,170000,140000,139000,175000,175000,157500,180000,177500,204000,232500,260000,275000,12,53,4.3,
COLAC,215000,225000,226500,235000,246500,259500,282500,320000,315000,350000,420000,517500,20,95,6.9,
COLDSTREAM,377500,368000,385000,405000,441000,521000,597500,660000,635000,648000,767000,800000,18,103,7.3,
COLERAINE,124000,109500,118000,95000,96000,90000,133000,114000,144000,127000,172000,299000,35,39,3.3,
COLLINGWOOD,697500,734000,741000,775000,914000,920000,1205000,1097500,1060000,1155000,1251500,1289000,8,79,6.0,
CONNEWARRE,707500,810000,612500,722500,800000,892000,955000,1200000,1345000,1647500,1625000,2842500,-1,130,8.7,
COOLAROO,304000,278000,290000,290000,302500,340000,451000,480000,441000,477000,500000,550000,5,64,5.1,
COONANS HILL,630000,613500,655000,732000,743000,870000,963000,927000,902500,1055000,1213000,1280500,15,93,6.8,
COONGULLA,250000,156000,150000,205000,189000,185000,192000,242000,335000,285000,280000,292500,-2,12,1.1,
CORINELLA,282500,290000,330000,270000,370000,325000,391000,450000,357500,510000,670000,1490500,31,137,9.0,
CORIO,225000,230000,230000,242000,240000,250000,305000,370000,351500,390000,458000,524000,17,104,7.4,
CORONET BAY,261500,222500,251000,249000,240000,266000,325500,345000,370000,407500,522500,640000,28,100,7.2,
CORRYONG,155000,152500,166500,135000,160000,164000,180000,162500,236000,226500,240000,287500,6,55,4.5,
COWES,384500,380000,385000,357500,412500,400000,440000,541000,560000,589500,876500,1067500,49,128,8.6,
COWES WEST,351000,345000,320000,350000,329000,353500,390000,485500,508000,545000,702500,825000,29,100,7.2,
CRAIGIEBURN,360000,350000,360000,362000,390000,425000,502500,546500,525000,560000,620000,668000,11,72,5.6,
CRANBOURNE,325000,313000,315000,331500,360000,406000,510000,540000,500000,510500,618000,670000,21,90,6.6,
CRANBOURNE EAST,368000,370000,390000,410000,437000,460000,535000,574500,567000,590000,662500,720000,12,80,6.1,
CRANBOURNE NORTH,362000,370000,370000,375000,410000,455000,541000,600000,570000,587500,653000,715000,11,80,6.1,
CRANBOURNE SOUTH,-,-,-,455000,685000,685000,600000,425000,632500,634000,710000,780000,12,NA,NA,
CRANBOURNE WEST,319000,320000,330000,335000,350000,410000,510500,540000,508000,530000,625000,696000,18,96,7.0,
CREMORNE,735000,701000,821000,886500,1030000,1072000,1230000,1420000,1290000,1405000,1500000,1777500,7,104,7.4,
CRESWICK,223000,245000,245000,270000,265000,292500,311500,324000,350000,387500,500000,520000,29,124,8.4,
CRIB POINT,330000,350000,355000,339000,350000,402000,502500,555000,527500,580000,740000,870000,28,124,8.4,
CROYDON,465000,450000,470000,525000,605000,695000,810000,792500,735000,787500,920000,910500,17,98,7.1,
CROYDON HILLS,532000,538000,571500,606000,697000,730000,875000,877500,835000,920000,1100000,1120000,20,107,7.5,
CROYDON NORTH,505500,520000,540500,600000,702500,790500,872000,840000,827500,860500,1050000,1188000,22,108,7.6,
CROYDON SOUTH,435500,436500,442000,530000,600000,655000,800000,757500,715500,740000,895000,887500,21,106,7.5,
CURLEWIS,153000,439500,385500,382500,387000,406500,430000,495000,565000,572500,646500,693000,13,323,15.5,
